Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CATEGORIA_ELECTRICO;DISTINTIVO;CLAS_INDUSTRIA;CATEG_HOMOLOGACION_UE
2216;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;;C;1000;M1
5227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
2814;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
1072;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;TURISMO;RENTING;DIESEL;;B;1046;M1G
3214;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
8570;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8561;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3223;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
8550;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8568;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3221;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
8563;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8554;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3204;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3203;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3225;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3206;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3210;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
306;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;BEV;CERO;1000;M1
3211;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3226;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
2812;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
3208;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3217;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3218;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3230;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3212;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3231;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
2902;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;AUTOBÚS;PROPIEDAD;DIESEL;;Sin distintivo;1204;M3
2130;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;;B;1000;M1
3236;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
2118;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;FORMACIÓN;TURISMO;CEDIDO A;DIESEL;;Sin distintivo;1000;M1
3222;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3219;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
46;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
41;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
44;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
38;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
52;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. ALCALDIA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
50;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
2417;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION DEL AGUA Y ZONAS VERDES;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;;Sin distintivo;1000;M1
48;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3328;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
40;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
45;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. HACIENDA Y PERSONAL;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
2813;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
49;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3229;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
42;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. COORDINACION GENERAL DE LA ALCALDIA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
43;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. GESTION URBANISTICA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
47;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
5001;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;;C;1000;M1
3233;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3235;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
1067;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;TURISMO;RENTING;DIESEL;;B;1046;M1G
7042;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GAS NATURAL COMPRIMIDO;;ECO;1000;M1
3213;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
4929;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION DEL AGUA Y ZONAS VERDES;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL;;Sin distintivo;2146;N2
2700;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION Y VIGILANCIA DE LA CIRCULACION;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
3915;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;Sin distintivo;400;L3e
3237;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
833;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD;OPERATIVO;FURGONETA;RENTING;DIESEL;;C;2400;N1
8216;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8571;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8567;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8214;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
4001;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
8564;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8566;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8558;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8573;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8572;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8576;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3200;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
4002;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4003;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
7041;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GAS NATURAL COMPRIMIDO;;ECO;1000;M1
2701;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION Y VIGILANCIA DE LA CIRCULACION;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
755;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD;INCIDENCIAS;TURISMO;RENTING;GASOLINA;;C;1041;M1
2815;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
3228;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
4000;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4005;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
8782;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL;;C;2120;N2
4004;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
2821;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
3131;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3e-A3
4006;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4007;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4010;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4008;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
1070;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;TURISMO;RENTING;DIESEL;;B;1046;M1G
4009;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
7039;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GAS NATURAL COMPRIMIDO;;ECO;1000;M1
4012;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4011;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4013;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4014;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4015;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
2811;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
2702;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION Y VIGILANCIA DE LA CIRCULACION;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
1120;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL;;C;2146;N2
4018;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4020;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
2820;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
4017;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4016;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4019;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
53;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
51;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
59;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
55;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE USERA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
57;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
58;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE SALAMANCA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
56;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
60;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
54;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
61;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE EQUIDAD, DERECHOS SOCIALES Y EMPLEO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4022;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4021;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4023;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
4025;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
2830;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
4024;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN BASURA;CEDIDO A;GAS NATURAL COMPRIMIDO;;ECO;2255;N3
