Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;ETIQUETA MEDIOAMBIENTAL
4067;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
4068;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
3311;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
4069;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
5415;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;GASOLINA;C
3296;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
1557;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1229;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1228;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1232;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1233;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1558;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
3292;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
1234;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1223;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1552;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1554;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1551;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
4070;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
1225;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
4071;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
1553;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
3297;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
4072;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
1230;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
4073;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
5416;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;GASOLINA;C
4074;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
4075;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. ZONAS VERDES, LIMPIEZA Y RESIDUOS;OPERATIVO ;TURISMO;RENTING;GASOLINA/HIBRIDO;ECO
3293;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3298;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3294;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
5417;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;GASOLINA;C
1;AREA DE GOBIERNO DE HACIENDA Y PERSONAL ;COORDINADOR DEL DISTRITO;ADMINISTRATIVO;TURISMO;PROPIEDAD;GASOLINA / GLP;ECO
5094;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;C
3157;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
